solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
sodium sulfate(half square) 0.5g,71.9,72.1,72.2,72.2,72.2,72.2,72.3,72.3,72.4,72.4,72.4,72.5,72.6,
sodium sulfate(full square) 0.5g,89.4,84.9,84.6,85.4,85.5,85.6,85.8,85.8,85.5,85.7,85.7,85.7,86,
sodium sulfate(two square) 0.5g,113.5,104.2,102.5,101.8,101.4,101.3,101.2,101,100.9,100.9,100.9,100.9,101,
