solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
manganese dioxide 0.0g,70.2,68.4,67.7,66.1,65.7,66.5,68.4,66.4,68.9,68.4,67.3,69,67.6,
manganese dioxide 1.0g,40.8,40.4,40.7,40.8,40.9,41,41.1,41.2,41.3,41.4,41.5,41.5,41.6,
manganese dioxide 2.0g,61.2,58.5,53.5,56.6,56.4,56.7,56.8,56.8,56.3,56.1,57.7,57.6,56.9,
