,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65,time_70,time_75,time_80,time_85,time_90,time_95,time_100,time_105,time_110,time_115,time_120,time_125,time_130,time_135,time_140,time_145,time_150,time_155,time_160,time_165,time_170,time_175,time_180,time_185,time_190,time_195,time_200,time_205,time_210,time_215,time_220,time_225
temperature,27.5,27.6,28,28.1,28.1,28.2,28.4,28.7,29.1,29.8,30.5,31,31.7,32.5,33.7,34.5,35.7,36.5,37.2,38,39,40.3,41.6,42.5,43.7,45.3,46.6,47.6,48.4,49.5,50.8,51.9,53.2,54.7,55.6,57.2,58.6,59.7,60.9,61.8,63,64.4,65.7,67,68.7,69.8
current,27.74,24.72,24.71,23.94,23.05,21.63,20.88,20.21,19.79,19.34,18.78,18.23,17.68,17.04,16.39,15.89,15.41,15.49,15.84,17.47,19.22,20.82,22.43,23.28,23.72,23.87,23.84,23.88,23.04,22.48,21.88,20.68,19.29,18.39,21.88,16.35,12.8,11.98,8.38,8.72,8.95,9.49,16.93,13.39,10.82,9.88
