solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
sodium sulfate 24.0cm,161.6,147.5,141.8,128.7,137.2,136.3,135.7,135.5,135.2,135,135,135,135,
sodium sulfate 14.5cm,180,155,146.8,143.1,140.8,139.3,138.3,137.8,137.5,137.2,137.1,136.8,136.7,
sodium sulfate 7.25cm,183.2,157.3,148.2,144,141.9,140.3,139.3,138.8,138.4,138.1,138,137.8,137.8,
