solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
sodium sulfate 1.0type,55.9,61.2,62.1,62.3,62.4,62.4,62.3,62.1,61.9,62.5,62.2,62.1,62.7,
sodium sulfate 2.0type,92.1,99.4,100.7,101.3,101.9,102.4,102.9,103.3,103.5,103.5,103.4,103.2,103,
